Sektör,reklam suresi SN,reklam maliyeti TL,ORTALAMA REYTING (TOPLAM İZLENME ORANI) %,ORTALAMA SHARE (İZLENME PAYI) % :,ORTALAMA AB grubu İzlenme %,prime time yayın oranı %,Diğer yayın zamanı oranı,Haftasonu REYTING (TOPLAM İZLENME ORANI) %,Satışa Etkisi
GIDA,42.5,69013.14,0.36,0.69,0.98,0.07,0.93,0.49,AZ
OTOMOTİVE,42.8,56743.47,0.27,0.21,0.80,0.43,0.57,0.86,AZ
DİĞER,50.9,71616.04,0.48,0.24,0.53,0.86,0.14,0.94,AZ
DİĞER,53.8,66198.99,0.34,0.71,0.35,0.97,0.03,0.22,AZ
MOBİLYA,40.1,62397.38,0.42,0.02,0.84,0.76,0.24,0.59,AZ
OTOMOTİVE,25.1,51082.71,0.30,0.97,0.26,0.32,0.68,0.04,AZ
MOBİLYA,56.5,61616.24,0.35,0.27,0.51,0.72,0.28,0.99,AZ
BEYAZ EŞYA,48.3,60981.77,0.47,0.75,0.97,0.96,0.04,0.45,AZ
BEYAZ EŞYA,52.3,55533.58,0.36,0.91,0.01,0.60,0.40,0.02,AZ
MOBİLYA,45.7,63424.81,0.41,0.47,0.66,0.09,0.91,0.89,AZ
GIDA,42.6,64698.32,0.27,0.74,0.04,0.19,0.81,0.94,AZ
BEYAZ EŞYA,48,67808.51,0.54,0.64,0.43,0.73,0.27,0.45,AZ
OTOMOTİVE,50.7,54427.18,0.35,0.18,0.24,0.95,0.05,0.34,AZ
DİĞER,49.5,69712.08,0.15,0.21,0.05,0.27,0.73,0.99,AZ
GİYİM,47.8,62373.61,0.25,0.01,0.67,0.74,0.26,0.89,AZ
BEYAZ EŞYA,60.9,42800.66,0.58,0.11,0.13,0.98,0.02,0.87,AZ
GİYİM,49.9,61352.98,0.33,0.88,0.86,0.55,0.45,0.61,AZ
DİĞER,43.7,52453.72,0.35,0.00,0.65,0.42,0.58,0.75,AZ
OTOMOTİVE,35.3,60110.76,0.38,0.68,0.96,0.16,0.84,0.93,AZ
MOBİLYA,54.7,61659.83,0.34,0.45,0.76,0.64,0.36,0.06,AZ
BEYAZ EŞYA,42.5,62667.09,0.26,0.57,0.33,0.84,0.16,0.13,AZ
MOBİLYA,45.6,61161.41,0.32,1.00,0.46,0.58,0.42,0.91,AZ
DİĞER,33.2,64142.34,0.32,0.43,0.49,0.40,0.60,0.83,AZ
BEYAZ EŞYA,31.1,68413.96,0.33,0.16,0.29,0.22,0.78,0.72,AZ
DİĞER,26.5,57626.04,0.35,0.50,0.18,0.17,0.83,0.60,AZ
MOBİLYA,25.2,60178.36,0.16,0.64,0.54,0.65,0.35,0.45,AZ
MOBİLYA,33.2,64836.36,0.38,0.78,0.12,0.74,0.26,0.65,AZ
DİĞER,43.2,54248.11,0.30,0.81,0.95,0.76,0.24,0.07,AZ
BEYAZ EŞYA,30.5,59672.06,0.32,0.12,0.08,0.41,0.59,0.30,AZ
OTOMOTİVE,41,67265.09,0.26,0.33,0.55,0.37,0.63,0.66,AZ
DİĞER,41.8,57241.86,0.22,0.39,0.81,0.15,0.85,0.34,AZ
MOBİLYA,42.2,72269.57,0.34,0.82,0.47,0.30,0.70,0.26,AZ
DİĞER,49,46374.78,0.40,0.01,0.10,0.31,0.69,0.04,AZ
OTOMOTİVE,41.7,56942.94,0.36,0.46,0.36,0.89,0.11,0.40,AZ
GİYİM,41.7,61568.6,0.26,0.19,0.62,0.37,0.63,0.68,AZ
GIDA,52,65700.7,0.31,0.32,0.49,0.90,0.10,1.00,AZ
GİYİM,37.5,66791.25,0.40,0.23,0.81,0.52,0.48,0.83,AZ
BEYAZ EŞYA,31.4,64786.8,0.38,0.45,0.20,0.95,0.05,0.20,AZ
GIDA,53.7,60113.05,0.38,0.22,0.24,0.15,0.85,0.43,AZ
BEYAZ EŞYA,55.7,54558.09,0.20,0.85,0.61,0.56,0.44,0.01,AZ
MOBİLYA,54.7,60062.32,0.54,0.33,0.16,0.89,0.11,0.58,AZ
OTOMOTİVE,44.5,59523.52,0.24,0.71,0.90,0.28,0.72,0.95,AZ
OTOMOTİVE,50.3,54603.48,0.55,0.41,0.61,0.60,0.40,0.56,AZ
OTOMOTİVE,53.5,56247.17,0.15,0.54,0.42,0.08,0.92,0.68,AZ
OTOMOTİVE,40.9,59099.94,0.50,0.12,0.66,0.86,0.14,0.38,AZ
DİĞER,52,53921.87,0.29,0.48,0.65,0.61,0.39,0.61,AZ
DİĞER,42.5,55853.41,0.21,0.47,0.64,0.64,0.36,0.44,AZ
GIDA,40.5,52671.6,0.41,0.95,0.74,0.01,0.99,0.80,AZ
BEYAZ EŞYA,52.5,46839.28,0.40,0.99,0.70,0.25,0.75,0.83,AZ
OTOMOTİVE,51.4,64821.8,0.38,0.67,0.56,0.55,0.45,0.67,AZ
BEYAZ EŞYA,52.9,63305.41,0.28,0.21,0.48,0.60,0.40,0.07,AZ
GIDA,36.8,61656.43,0.29,0.32,0.29,0.01,0.99,0.20,AZ
OTOMOTİVE,67.4,63206.61,0.36,0.42,0.48,0.61,0.39,0.31,AZ
OTOMOTİVE,45.8,61617.15,0.33,0.91,0.91,0.24,0.76,0.29,AZ
MOBİLYA,28.6,60255.86,0.44,0.79,0.02,0.62,0.38,0.25,AZ
OTOMOTİVE,44.2,69150.27,0.36,0.18,0.41,0.27,0.73,0.57,AZ
GİYİM,47.2,67152.24,0.32,0.27,0.03,0.19,0.81,0.06,AZ
MOBİLYA,44.3,64021.21,0.38,0.42,0.29,0.98,0.02,0.79,AZ
OTOMOTİVE,35.9,56290.55,0.29,0.91,0.04,0.72,0.28,0.03,AZ
BEYAZ EŞYA,41.6,52495.43,0.17,0.80,0.61,0.10,0.90,0.95,AZ
DİĞER,38.7,49407.1,0.48,0.75,0.92,0.48,0.52,0.46,AZ
OTOMOTİVE,56.8,58694.64,0.54,0.04,0.44,0.46,0.54,0.66,AZ
BEYAZ EŞYA,37.5,48942.24,0.33,0.33,0.83,0.91,0.09,0.72,AZ
DİĞER,60.4,67539.2,0.54,0.12,0.91,0.20,0.80,0.81,AZ
GIDA,39.3,70312.31,0.40,0.51,0.44,0.80,0.20,0.41,AZ
MOBİLYA,39.2,62841.28,0.32,0.85,0.17,0.09,0.91,0.21,AZ
OTOMOTİVE,39,56217.09,0.30,0.32,0.21,0.58,0.42,0.34,AZ
MOBİLYA,36.6,65564.05,0.42,0.93,0.60,0.06,0.94,0.52,AZ
DİĞER,48.5,66992.3,0.46,0.20,0.74,0.41,0.59,0.03,AZ
GİYİM,53.3,67136.16,0.35,0.89,0.47,0.30,0.70,0.23,AZ
MOBİLYA,44.3,58216.55,0.46,0.64,0.22,0.50,0.50,0.65,AZ
GIDA,47.8,55745.59,0.45,0.71,0.49,0.74,0.26,0.82,AZ
GIDA,56.7,51895.68,0.51,0.20,0.56,0.30,0.70,0.92,AZ
OTOMOTİVE,38.9,53779.82,0.37,0.33,0.01,0.14,0.86,0.57,AZ
OTOMOTİVE,45.3,71745.03,0.21,0.83,0.69,0.09,0.91,0.90,AZ
GİYİM,63.5,56181.88,0.09,0.21,0.06,0.01,0.99,0.63,AZ
GİYİM,32.1,64749.05,0.47,0.65,0.45,0.47,0.53,0.72,AZ
OTOMOTİVE,37.6,58285.9,0.33,0.08,0.05,0.50,0.50,0.49,AZ
DİĞER,41.7,66443.03,0.10,0.71,0.48,0.78,0.22,0.56,AZ
GİYİM,42.2,49471.78,0.36,0.63,0.46,0.88,0.12,0.86,AZ
BEYAZ EŞYA,21.4,57673.42,0.40,0.14,0.44,0.68,0.32,0.84,AZ
BEYAZ EŞYA,41.9,53977.21,0.45,0.67,0.66,0.38,0.62,1.00,AZ
BEYAZ EŞYA,43.3,55245.19,0.38,0.63,0.60,0.97,0.03,0.13,AZ
GİYİM,38.9,56275.82,0.27,0.29,0.74,0.78,0.22,0.21,AZ
GİYİM,47.8,57665.61,0.34,0.61,0.94,0.23,0.77,0.92,AZ
OTOMOTİVE,56.1,49463.89,0.40,0.63,0.81,0.23,0.77,0.25,AZ
OTOMOTİVE,36.3,63664.96,0.17,0.59,0.07,0.78,0.22,0.64,AZ
GIDA,47,63068.38,0.54,0.82,0.12,0.17,0.83,0.72,AZ
DİĞER,28.7,66985.38,0.17,0.68,0.21,0.32,0.68,0.71,AZ
MOBİLYA,41.1,58225.02,0.47,0.21,0.55,0.21,0.79,0.29,AZ
GIDA,36.1,61769.87,0.65,0.54,0.02,0.03,0.97,0.15,AZ
DİĞER,29.6,65320.72,0.50,0.91,0.09,0.69,0.31,0.86,AZ
DİĞER,53.5,46653.83,0.32,0.70,0.26,0.64,0.36,0.71,AZ
GIDA,52.5,72015.39,0.27,0.24,0.36,0.88,0.12,0.96,AZ
MOBİLYA,42,70503.53,0.46,0.37,0.54,0.48,0.52,0.80,AZ
GİYİM,29.1,64860.34,0.59,0.18,0.69,0.96,0.04,0.21,AZ
MOBİLYA,53.1,59746.32,0.21,0.19,0.89,0.10,0.90,0.90,AZ
MOBİLYA,45,54576.67,0.38,0.17,0.51,0.66,0.34,0.04,AZ
DİĞER,37.3,67729.83,0.21,0.09,0.42,0.49,0.51,0.99,AZ
MOBİLYA,41.4,65799.93,0.32,0.67,0.95,0.52,0.48,0.91,AZ
GİYİM,26.2,65700.94,0.32,0.84,0.09,0.58,0.42,0.02,AZ
OTOMOTİVE,49.8,64477.87,0.24,0.51,0.95,0.77,0.23,0.11,AZ
MOBİLYA,51.9,57994.64,0.28,0.36,0.86,0.37,0.63,0.07,AZ
OTOMOTİVE,57.5,57126.99,0.42,0.22,0.97,0.76,0.24,0.26,AZ
GİYİM,40.9,72672.42,0.43,0.82,0.62,0.86,0.14,0.88,AZ
GİYİM,43.7,68248.13,0.35,0.27,0.93,0.31,0.69,0.86,AZ
GİYİM,53,60885.72,0.45,0.92,0.71,0.16,0.84,0.20,AZ
GIDA,50.6,64284.9,0.31,0.32,0.79,0.80,0.20,0.05,AZ
OTOMOTİVE,43,66228.41,0.36,0.38,0.56,0.51,0.49,0.19,AZ
OTOMOTİVE,43.8,47125.63,0.19,0.88,0.98,0.16,0.84,0.56,AZ
OTOMOTİVE,30.7,60959.42,0.45,0.07,0.58,0.63,0.37,0.97,AZ
MOBİLYA,38.5,63543.01,0.40,0.94,0.00,0.89,0.11,0.08,AZ
BEYAZ EŞYA,30.5,63993.72,0.35,0.76,0.35,0.23,0.77,0.73,AZ
DİĞER,68.4,62065.78,0.29,0.19,0.84,0.11,0.89,0.34,AZ
GİYİM,33.2,56568.98,0.30,0.14,0.97,0.97,0.03,0.67,AZ
DİĞER,51.4,63485.12,0.32,0.01,0.63,0.70,0.30,0.92,AZ
BEYAZ EŞYA,55.5,71208.09,0.43,0.82,0.52,0.33,0.67,0.70,AZ
GIDA,37.3,62513.05,0.46,0.91,0.43,0.63,0.37,0.06,AZ
GİYİM,35.7,61170.68,0.52,0.09,0.67,0.66,0.34,0.42,AZ
OTOMOTİVE,39.3,61521.35,0.37,0.61,0.14,0.63,0.37,0.97,AZ
MOBİLYA,24.1,62238.29,0.40,0.70,0.30,0.25,0.75,0.40,AZ
GIDA,44.1,66047.84,0.30,0.08,0.61,0.74,0.26,0.61,AZ
GİYİM,50.9,59606.02,0.39,0.02,0.26,0.31,0.69,0.42,AZ
DİĞER,38.9,71671.94,0.24,0.48,0.85,0.46,0.54,0.79,AZ
GIDA,51.1,58154.6,0.57,0.92,0.95,0.13,0.87,0.68,AZ
DİĞER,42.2,63065.79,0.49,0.16,0.71,0.12,0.88,0.20,AZ
MOBİLYA,49.4,57187.77,0.38,0.43,0.56,0.61,0.39,0.28,AZ
GİYİM,36.7,54088.19,0.15,0.12,0.70,0.12,0.88,0.14,AZ
DİĞER,28.7,59812.24,0.37,0.43,0.83,0.48,0.52,0.77,AZ
MOBİLYA,48.3,53078.11,0.30,0.52,0.99,0.85,0.15,0.26,AZ
GIDA,29.3,69161.45,0.27,0.79,0.12,0.70,0.30,0.93,AZ
MOBİLYA,42.7,66442.26,0.45,0.65,0.60,0.46,0.54,0.09,AZ
GİYİM,60.2,71411.41,0.47,0.39,0.02,0.50,0.50,0.80,AZ
GIDA,51.6,60741.58,0.33,0.46,0.11,0.55,0.45,0.75,AZ
DİĞER,36.9,55618.88,0.53,0.66,0.12,0.90,0.10,0.78,AZ
DİĞER,57.5,63657.41,0.52,0.65,0.75,0.75,0.25,0.45,AZ
GİYİM,36.2,59859.14,0.27,0.27,0.72,0.88,0.12,0.07,AZ
DİĞER,31.2,55719.76,0.49,0.25,0.53,0.75,0.25,0.73,AZ
GİYİM,38.1,53870.35,0.42,0.09,0.84,0.98,0.02,0.31,AZ
GIDA,42.9,65419.61,0.48,0.33,0.01,0.71,0.29,0.73,AZ
GIDA,29.6,55064.56,0.38,0.65,0.95,0.14,0.86,0.89,AZ
GİYİM,38.1,63884.93,0.64,0.16,0.27,0.70,0.30,0.98,AZ
BEYAZ EŞYA,32,51957.16,0.13,0.61,0.26,0.27,0.73,0.49,AZ
GİYİM,31,58403.02,0.40,0.61,0.72,0.70,0.30,0.75,AZ
GIDA,44.6,58471.1,0.24,0.59,0.84,0.91,0.09,0.86,AZ
OTOMOTİVE,27.3,54870.88,0.31,0.56,0.43,0.86,0.14,0.21,AZ
OTOMOTİVE,59.9,55244.63,0.49,0.36,0.64,0.05,0.95,0.60,AZ
MOBİLYA,41.9,60968.51,0.41,0.57,0.35,0.47,0.53,0.69,AZ
DİĞER,46,55778.47,0.33,0.63,0.89,0.40,0.60,0.38,AZ
OTOMOTİVE,39.5,57685.83,0.23,0.86,0.18,0.01,0.99,0.71,AZ
GIDA,26.9,60307.72,0.47,0.73,0.53,0.85,0.15,0.99,AZ
DİĞER,27,62778.52,0.39,0.05,0.21,0.46,0.54,0.40,AZ
MOBİLYA,48,51439.79,0.48,0.69,0.18,0.90,0.10,0.92,AZ
BEYAZ EŞYA,58.3,48270.57,0.40,0.86,0.14,0.07,0.93,0.36,AZ
GIDA,35.9,65359.43,0.48,0.85,0.82,0.26,0.74,0.91,AZ
GİYİM,44.7,61882.26,0.41,0.85,0.92,0.08,0.92,0.23,AZ
MOBİLYA,55.6,56252.16,0.45,0.64,0.34,0.20,0.80,0.58,AZ
GIDA,35.9,65075.22,0.40,0.03,0.17,0.11,0.89,0.51,AZ
BEYAZ EŞYA,43.1,71191.46,0.37,0.65,0.68,0.96,0.04,0.75,AZ
BEYAZ EŞYA,36.5,64900.74,0.42,0.40,0.52,0.11,0.89,0.45,AZ
DİĞER,45.7,67036.75,0.23,0.74,0.39,0.33,0.67,0.77,AZ
MOBİLYA,48.2,72076.19,0.41,0.19,0.81,0.47,0.53,0.04,AZ
BEYAZ EŞYA,44.4,71841.17,0.41,0.42,0.15,0.10,0.90,0.44,AZ
GIDA,22.7,53191.09,0.37,0.68,0.72,0.05,0.95,0.29,AZ
BEYAZ EŞYA,68.6,62431.31,0.44,0.26,0.54,0.03,0.97,0.97,AZ
GİYİM,19.2,58319.42,0.54,0.29,0.31,0.04,0.96,0.73,AZ
GİYİM,57,42776.75,0.41,0.94,0.32,0.94,0.06,0.55,AZ
GIDA,47.6,57494.11,0.29,0.57,0.96,0.51,0.49,0.87,AZ
BEYAZ EŞYA,44.3,63571.62,0.32,0.91,0.69,0.19,0.81,0.41,AZ
DİĞER,42.3,57545.12,0.42,0.69,0.05,0.96,0.04,0.39,AZ
DİĞER,36.1,56341.38,0.36,0.03,0.81,0.55,0.45,0.94,AZ
GİYİM,39.1,61108.55,0.39,0.51,0.51,0.82,0.18,0.09,AZ
MOBİLYA,57.8,51190.47,0.42,0.85,0.35,0.83,0.17,0.39,AZ
BEYAZ EŞYA,17.3,66305.43,0.34,0.12,0.69,1.00,0.00,0.09,AZ
GİYİM,52.9,45269.81,0.44,0.98,0.75,0.28,0.72,0.54,AZ
DİĞER,75.8,58139.95,0.27,0.92,0.74,0.08,0.92,0.34,AZ
GIDA,37.1,69007.57,0.32,0.08,0.78,0.82,0.18,0.22,AZ
MOBİLYA,40.9,64668.01,0.35,0.46,0.65,0.39,0.61,0.84,AZ
GİYİM,40.7,62327.77,0.41,0.74,0.72,0.36,0.64,0.95,AZ
DİĞER,32,58535.65,0.48,0.24,1.00,0.26,0.74,0.19,AZ
GIDA,54.6,47738.28,0.38,0.24,0.09,0.90,0.10,0.67,AZ
GIDA,49,59081.04,0.27,0.59,0.94,0.42,0.58,0.39,AZ
OTOMOTİVE,34.1,68266.25,0.44,0.55,0.95,0.10,0.90,0.74,AZ
MOBİLYA,47.6,64053.94,0.46,0.94,0.93,0.02,0.98,0.76,AZ
MOBİLYA,39.4,48413.47,0.35,0.04,0.05,0.43,0.57,0.11,AZ
DİĞER,24.8,49121.22,0.35,0.79,0.62,0.55,0.45,0.33,AZ
DİĞER,51.3,65843.22,0.36,0.89,0.25,0.98,0.02,0.77,AZ
BEYAZ EŞYA,50.5,68150.07,0.48,0.60,0.03,0.99,0.01,0.96,AZ
OTOMOTİVE,57.1,64910.88,0.23,0.96,0.12,0.47,0.53,0.04,AZ
GIDA,31.1,49949.49,0.39,0.35,0.66,0.49,0.51,0.92,AZ
DİĞER,39.9,66828.23,0.23,0.74,0.04,0.60,0.40,0.94,AZ
BEYAZ EŞYA,37.9,68167.96,0.29,0.87,0.01,0.03,0.97,0.33,AZ
BEYAZ EŞYA,47.4,56706.69,0.20,0.66,0.28,0.88,0.12,0.37,AZ
MOBİLYA,45.6,68709.27,0.35,0.56,0.96,0.42,0.58,0.26,AZ
GIDA,47.5,41824.76,0.50,0.51,0.61,0.39,0.61,0.91,AZ
GİYİM,39.9,56710.44,0.40,0.31,0.18,0.26,0.74,0.68,AZ
MOBİLYA,38.2,60624.05,0.37,0.21,0.57,0.89,0.11,0.46,AZ
GIDA,37.5,65452.71,0.31,0.07,0.94,0.71,0.29,0.00,AZ
MOBİLYA,48.6,65768.99,0.37,0.36,0.30,0.09,0.91,0.79,AZ
MOBİLYA,46.8,56162.51,0.31,0.93,0.74,0.26,0.74,0.77,AZ
OTOMOTİVE,36.4,57957.66,0.28,0.56,0.60,0.60,0.40,0.84,AZ
GİYİM,46.2,56035.36,0.40,0.53,0.43,0.22,0.78,0.99,AZ
DİĞER,41.1,64266.15,0.24,0.09,0.43,0.16,0.84,0.33,AZ
BEYAZ EŞYA,42.5,59343.33,0.26,0.73,0.60,0.81,0.19,0.92,AZ
GIDA,45.7,63083.19,0.35,0.47,0.52,0.36,0.64,0.02,AZ
BEYAZ EŞYA,17.5,68235.93,0.39,0.22,0.28,0.37,0.63,0.23,AZ
BEYAZ EŞYA,62,67589.7,0.36,0.51,0.17,0.53,0.47,0.41,AZ
BEYAZ EŞYA,33.5,72735.06,0.29,0.93,0.17,0.15,0.85,0.35,AZ
MOBİLYA,56.9,68597.84,0.49,0.42,0.30,0.73,0.27,0.53,AZ
BEYAZ EŞYA,39.2,53005.01,0.40,0.07,0.88,0.36,0.64,0.52,AZ
GIDA,38.5,65711.51,0.24,0.75,0.94,0.95,0.05,0.73,AZ
MOBİLYA,45.5,60046.58,0.13,0.08,0.81,0.01,0.99,0.42,AZ
MOBİLYA,33.6,63333.72,0.44,0.39,0.28,0.99,0.01,0.65,AZ
GİYİM,25.6,66654.05,0.24,0.67,0.09,0.17,0.83,0.40,AZ
GIDA,44,58103.98,0.50,0.01,0.51,0.30,0.70,0.21,AZ
MOBİLYA,46.8,68077.87,0.23,0.26,0.87,0.65,0.35,0.85,AZ
GIDA,58.1,69748.32,0.32,0.68,0.59,0.15,0.85,0.36,AZ
MOBİLYA,31.2,52389.25,0.26,0.82,0.32,0.50,0.50,0.99,AZ
BEYAZ EŞYA,40.1,61950.1,0.41,0.55,0.96,0.62,0.38,0.93,AZ
OTOMOTİVE,37.3,64470.31,0.41,0.42,0.06,0.84,0.16,0.73,AZ
GİYİM,49.1,60344.79,0.34,0.03,0.55,0.96,0.04,0.39,AZ
BEYAZ EŞYA,45.5,47607.28,0.36,0.78,0.93,0.21,0.79,0.85,AZ
BEYAZ EŞYA,39.2,50587.79,0.28,0.51,0.18,0.07,0.93,0.32,AZ
BEYAZ EŞYA,57.2,63009.82,0.31,0.83,0.03,0.66,0.34,0.27,AZ
GIDA,43.5,50905.72,0.52,0.50,0.10,0.68,0.32,0.93,AZ
OTOMOTİVE,31.1,69814.36,0.19,0.98,0.40,0.44,0.56,0.49,AZ
BEYAZ EŞYA,33.2,47033.43,0.21,0.45,0.15,0.29,0.71,0.25,AZ
MOBİLYA,41.4,54973.88,0.42,0.58,0.56,0.19,0.81,0.69,AZ
BEYAZ EŞYA,45.2,50408.15,0.29,0.58,0.93,0.32,0.68,0.99,AZ
MOBİLYA,43.6,52506.8,0.55,0.30,0.47,0.63,0.37,0.71,AZ
BEYAZ EŞYA,38.6,61112.71,0.24,0.23,0.18,0.06,0.94,0.52,AZ
DİĞER,40.8,65657.1,0.43,0.94,0.49,0.69,0.31,0.64,AZ
BEYAZ EŞYA,59,70564.8,0.37,0.19,0.31,0.25,0.75,0.53,AZ
OTOMOTİVE,58.9,69950.5,0.38,0.49,0.02,0.18,0.82,0.49,AZ
DİĞER,42,66907.71,0.40,0.54,0.64,0.12,0.88,0.89,AZ
GIDA,42.9,62058.46,0.30,0.24,0.97,0.68,0.32,0.50,AZ
GIDA,33.7,62362.42,0.49,0.33,0.15,0.01,0.99,0.72,AZ
GİYİM,20.8,47341.12,0.53,0.60,0.87,0.92,0.08,0.68,AZ
MOBİLYA,43.1,64684.75,0.39,0.66,0.69,0.66,0.34,0.68,AZ
OTOMOTİVE,49.2,58583.26,0.26,0.52,0.38,0.94,0.06,0.14,AZ
BEYAZ EŞYA,50.8,64125.01,0.29,0.96,0.83,0.20,0.80,0.74,AZ
DİĞER,53.1,42358.85,0.33,0.60,0.68,0.64,0.36,0.98,AZ
GIDA,48.2,57903.72,0.35,0.85,0.60,0.37,0.63,0.45,AZ
GİYİM,53.6,59817.75,0.16,0.24,0.63,0.70,0.30,0.36,AZ
BEYAZ EŞYA,51.5,68386.7,0.28,0.64,0.93,0.83,0.17,0.89,AZ
DİĞER,41,71779.27,0.42,0.74,0.24,0.27,0.73,0.47,AZ
GIDA,39.1,67310.67,0.36,0.12,0.12,0.49,0.51,0.34,AZ
GIDA,46.8,61498.06,0.31,0.14,0.69,0.89,0.11,0.51,AZ
MOBİLYA,40.7,70562.3,0.37,0.09,0.04,0.90,0.10,0.14,AZ
BEYAZ EŞYA,42.6,65941.51,0.54,0.34,0.50,0.26,0.74,0.51,AZ
GİYİM,36,64748.36,0.43,0.76,0.02,0.99,0.01,0.23,AZ
OTOMOTİVE,39.5,57919.65,0.39,0.77,0.15,0.96,0.04,0.13,AZ
OTOMOTİVE,59.5,71295.04,0.39,0.13,0.66,0.23,0.77,0.50,AZ
MOBİLYA,58.1,57813.87,0.25,0.00,0.69,0.03,0.97,0.15,AZ
DİĞER,43.9,61446.07,0.30,0.02,0.45,0.07,0.93,0.49,AZ
GIDA,46.1,61238.26,0.30,0.19,0.53,0.18,0.82,0.55,AZ
GİYİM,15,69029.77,0.22,0.63,0.56,0.28,0.72,0.80,AZ
MOBİLYA,31.8,55561.73,0.31,0.96,0.56,0.74,0.26,0.04,AZ
BEYAZ EŞYA,46.6,66565.02,0.43,0.14,0.91,0.02,0.98,0.69,AZ
BEYAZ EŞYA,41.5,62583.84,0.38,0.64,0.04,0.31,0.69,0.08,AZ
GİYİM,58.8,52967.35,0.35,0.45,0.24,0.07,0.93,0.15,AZ
BEYAZ EŞYA,39.4,56948.87,0.38,1.00,0.35,0.20,0.80,0.78,AZ
GİYİM,24.7,56495.04,0.52,0.82,0.05,0.02,0.98,0.28,AZ
MOBİLYA,47.1,54563.96,0.51,0.60,0.82,0.81,0.19,0.62,AZ
GIDA,40,55970.27,0.48,0.88,0.67,0.86,0.14,0.09,AZ
GİYİM,43.4,66557.29,0.30,0.93,0.13,0.81,0.19,0.43,AZ
DİĞER,48.1,64650.84,0.40,0.65,0.18,0.87,0.13,0.32,AZ
GİYİM,66.3,70145.46,0.43,0.21,0.53,0.57,0.43,0.62,AZ
BEYAZ EŞYA,51.8,66392.99,0.30,0.81,0.17,0.80,0.20,0.01,AZ
MOBİLYA,34.9,71625.3,0.48,0.20,0.93,0.57,0.43,0.78,AZ
GIDA,38,51151.31,0.54,0.78,0.21,0.87,0.13,0.04,AZ
OTOMOTİVE,45.7,66500.01,0.47,0.83,0.31,0.78,0.22,0.79,AZ
GİYİM,56.9,70357.41,0.35,0.03,0.84,0.54,0.46,0.00,AZ
GIDA,42.3,62435.56,0.65,0.57,0.25,0.78,0.22,0.55,AZ
MOBİLYA,21.6,69418.2,0.41,0.67,0.76,0.71,0.29,0.19,AZ
MOBİLYA,47.8,52027.68,0.42,0.27,0.43,0.08,0.92,0.37,AZ
GIDA,36.6,69826.11,0.17,0.14,0.31,0.10,0.90,0.27,AZ
DİĞER,54.5,62775.11,0.24,0.57,0.64,0.98,0.02,0.71,AZ
BEYAZ EŞYA,54.6,49076.14,0.25,0.80,0.02,0.91,0.09,0.23,AZ
OTOMOTİVE,55.5,66176.36,0.38,0.25,0.16,0.49,0.51,0.34,AZ
GİYİM,51.2,55588.34,0.39,0.74,0.70,0.12,0.88,0.66,AZ
GİYİM,40.8,59119.74,0.40,0.09,0.51,0.36,0.64,0.99,AZ
GİYİM,53.2,67280.79,0.44,0.07,0.08,0.08,0.92,0.25,AZ
OTOMOTİVE,44.3,67345.79,0.28,0.97,0.75,0.67,0.33,0.47,AZ
BEYAZ EŞYA,44.3,64706.75,0.21,0.70,0.15,0.39,0.61,0.22,AZ
MOBİLYA,48.7,70011.62,0.39,0.88,0.38,0.24,0.76,0.50,AZ
DİĞER,51.1,65473.19,0.41,0.10,0.52,0.43,0.57,0.02,AZ
BEYAZ EŞYA,51.8,63085.86,0.29,0.24,0.20,0.73,0.27,0.50,AZ
BEYAZ EŞYA,45.6,59152.73,0.44,0.99,0.35,0.92,0.08,0.75,AZ
OTOMOTİVE,59.9,57794.88,0.38,0.21,0.77,0.65,0.35,0.71,AZ
OTOMOTİVE,39.9,51826.27,0.34,0.81,0.30,0.74,0.26,0.45,AZ
OTOMOTİVE,46,67057.23,0.54,0.01,0.31,0.04,0.96,0.02,AZ
GIDA,44.4,62578.5,0.48,0.30,0.26,0.85,0.15,0.28,AZ
GIDA,45.1,53209.2,0.30,0.83,0.53,0.95,0.05,0.88,AZ
GİYİM,53.9,67232.59,0.25,0.10,0.88,0.21,0.79,0.23,AZ
MOBİLYA,44.5,48839.52,0.35,0.04,0.47,0.29,0.71,0.39,AZ
OTOMOTİVE,57.8,58861.04,0.32,0.46,0.32,0.43,0.57,0.27,AZ
DİĞER,34.8,61263.65,0.35,0.41,0.24,0.88,0.12,0.19,AZ
DİĞER,33.9,65535.45,0.35,0.82,0.89,0.98,0.02,0.71,AZ
MOBİLYA,32.3,60450.32,0.47,0.50,0.73,0.77,0.23,0.32,AZ
MOBİLYA,59.4,50448.46,0.41,0.46,0.44,0.71,0.29,0.06,AZ
MOBİLYA,53.2,58418.93,0.23,0.69,0.16,0.17,0.83,0.23,AZ
OTOMOTİVE,56.4,67322.27,0.47,0.52,1.00,0.40,0.60,0.41,AZ
GİYİM,40,52290.43,0.18,0.00,0.02,0.07,0.93,0.41,AZ
MOBİLYA,38.5,62575.72,0.35,0.49,0.04,0.96,0.04,0.35,AZ
BEYAZ EŞYA,37.3,56198.36,0.49,0.76,0.71,0.53,0.47,0.43,AZ
DİĞER,33.1,58467.7,0.31,0.79,0.80,0.66,0.34,0.72,AZ
MOBİLYA,41.3,53886.46,0.19,0.24,0.53,0.14,0.86,0.53,AZ
GİYİM,47.9,62280.08,0.24,0.12,0.83,0.04,0.96,0.43,AZ
